Annee;PIB_hbt;Agri;Ind;bal_ext_BS ;Inflat;Chomage;effet_serre;Renouv;Esp_vie;CO2;FBCF;Imp_renouv
1991;1282,57959;17,49943674;26,01615841;-1660046700;7,986166008;13,59;46,2573;23;62,946;23,5367;8054289862;155446
1992;1317,329956;14,04275721;26,37223976;-1995360541;5,740246629;13,85;47,8711;21,6;63,401;25,2154;8362423940;178372
1993;1217,429077;13,06940743;26,47452233;-1755914442;5,18311396;14,076;47,7311;19;63,872;25,9713;8088129003;181396
1994;1348,539063;17,25950772;25,16400156;-1935637021;5,14167153;13,917;50,7296;19,01;64,346;28,128;8392956449;196886
1995;1455,950317;13,49264985;26,33117822;-2485677026;6,123581648;14,089;52,0833;17,74;64,736;29,2733;9350603852;197042
1996;1585,722778;18,4399801;25,62099642;-1477676771;2,986809228;13,434;52,5875;19,06;65,238;28,9113;9414841824;198424
1997;1416,900391;14,63418013;27,32239509;-1292630083;1,038198951;14,04;55,0989;18,76;65,629;30,4526;8909512890;215650
1998;1658,471802;14,48679021;23,14101634;-1668096217;2,753113308;13,411;56,2464;17,63;66,018;31,209;10128121960;220000
1999;1627,135132;12,47663953;23,48726489;-1531205001;0,684782609;13,94;58,6757;15,93;66,406;32,8548;10930107546;230457
2000;1492,377075;10,72863179;24,3526302;-2170940439;1,894634568;13,58;60,1515;15,54;66,787;33,5538;10480934331;237227
2001;1500,363403;11,87617762;22,86969299;-1183660488;0,619801875;12,46;64,0281;15,3;67,18;36,9813;10202097545;264493
2002;1590,487305;11,84327817;22,63612244;-1139912204;2,795619669;11,59;65,66;15,14;67,547;38,2613;11120357844;249998
2003;1936,09021;12,49186018;23,32480131;-1728628059;1,167733675;11,92;66,2711;16,06;67,915;38,0892;13498881035;258099
2004;2177,798828;11,86933372;24,00298761;-3208669864;1,493444034;10,83;71,3075;22,35;68,231;41,908;16273570044;276597
2005;2237,576172;10,69888045;23,68120688;-3788292814;0,98264166;11,01;74,2378;20;68,704;44,4954;17759588395;305190
2006;2433,212646;12,3041681;22,75308141;-4108550667;3,28476167;9,67;76,1386;18,22;69,128;45,6254;20022003499;312767
2007;2751,423584;9,875246649;22,42293928;-7385441974;2,042085127;9,56;77,159;16,55;69,604;46,2629;25415959044;339162
2008;3180,170654;10,86496179;24,31558226;-13124997984;3,714843115;9,57;80,2491;14,44;70,048;49,08;31838277750;343638
2009;3118,141602;11,96504755;22,25957486;-11062913455;0,971862999;8,96;80,7125;14,17;70,458;48,9413;29413188368;361538
2010;3067,851807;11,96208127;23,71191269;-10050304390;0,993557401;9,09;84,7236;13,87;70,829;52,0271;28576866444;391353
2011;3302,453125;12,08190261;24,50651919;-14219008328;0,90692491;8,91;90,1933;11,83;71,269;56,2648;31926945719;419639
2012;3164,004639;11,32975115;24,26597735;-15001080728;1,287122401;8,99;93,0301;10,91;71,679;58,5356;32032422992;462825
2013;3377,643555;12,35836619;24,15312888;-15452612955;1,880654667;9,23;94,0434;11,59;72,122;58,4785;32894636657;445823
2014;3430,534424;10,35314652;25,81326751;-13852049948;0,442310054;9,7;95,5841;11,14;72,538;59,4511;32184291446;466552
2015;3139,228271;11,79619318;25,62268173;-8056861554;1,557907113;9,46;97,8838;11,24;72,92;61,0828;28563811941;447404
2016;3132,952148;10,32196511;25,68510458;-10770661075;1,635311143;9,3;98,3492;11,07;73,284;60,9949;32003137199;443139
2017;3288,502686;11,1602888;25,40545481;-10621752089;0,754663249;9,229;102,365;10,45;73,66;63,8465;33351946626;465170
2018;3492,672607;11,30554024;25,24135381;-12222219618;1,803916711;9,282;104,4321;10,86;73,986;65,1827;35475429523;475729
2019;3498,582764;10,84240174;25,24995241;-10071252426;0,303386037;9,21;111,7948;10,65;74,27;71,8419;35056913349;491226
2020;3258,269043;10,66364014;26,04364339;-8804922307;0,705968661;11,203;108,0091;11,11;73,92;67,5879;31825825982;456424
2021;3767,524902;11,99558807;25,79964181;-13138811840;1,40195884;10,539;117,3004;10,9;74,042;75,8287;37338888293;496749
2022;3441,991455;10,3315546;25,47712377;-15050498688;6,657042028;9,53;114,7707;16,1;74,973;72,642;35511964774;505377
2023;3672,112305;11,96484495;23,76986819;-11716525367;6,091141525;9,114;112,241;10,1;75,904;69,4553;38082287505;509197,2857
